from,to,relationship
UVDL,500,1
UVDL,CDU,2
UVDL,EK,2
LK,500,1
LK,503,1
LK,SPD,2
NR,500,1
NR,501,1
NR,CDU,2
SW,500,1
SW,DL,2
CS,500,1
CL,501,1
CL,FDP,2
KS,501,1
LM,501,1
KD,501,1
EL,501,1
AB,502,1
AB,DG,2
FT,502,1
FT,EK,2
AM,502,1
AGL,502,1
AGL,FDP,2
ER,502,1
RH,503,1
RH,DG,2
CM,503,1
KP,503,1
RK,503,1
RK,CDU,2
